Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
0.381,-0.192,-2.624,-1.055,5.01,1.1913,0.959,1
0.959,0.381,-0.192,-2.624,-1.055,1.2965,1.032,1
1.032,0.959,0.381,-0.192,-2.624,1.4112,-0.623,0
-0.623,1.032,0.959,0.381,-0.192,1.276,0.614,1
0.614,-0.623,1.032,0.959,0.381,1.2057,0.213,1
0.213,0.614,-0.623,1.032,0.959,1.3491,1.392,1
1.392,0.213,0.614,-0.623,1.032,1.445,-0.403,0
-0.403,1.392,0.213,0.614,-0.623,1.4078,0.027,1
0.027,-0.403,1.392,0.213,0.614,1.164,1.303,1
1.303,0.027,-0.403,1.392,0.213,1.2326,0.287,1
0.287,1.303,0.027,-0.403,1.392,1.309,-0.498,0
-0.498,0.287,1.303,0.027,-0.403,1.258,-0.189,0
-0.189,-0.498,0.287,1.303,0.027,1.098,0.68,1
0.68,-0.189,-0.498,0.287,1.303,1.0531,0.701,1
0.701,0.68,-0.189,-0.498,0.287,1.1498,-0.562,0
-0.562,0.701,0.68,-0.189,-0.498,1.2953,0.546,1
0.546,-0.562,0.701,0.68,-0.189,1.1188,-1.747,0
-1.747,0.546,-0.562,0.701,0.68,1.0484,0.359,1
0.359,-1.747,0.546,-0.562,0.701,1.013,-0.151,0
-0.151,0.359,-1.747,0.546,-0.562,1.0596,-0.841,0
-0.841,-0.151,0.359,-1.747,0.546,1.1583,-0.623,0
-0.623,-0.841,-0.151,0.359,-1.747,1.1072,-1.334,0
-1.334,-0.623,-0.841,-0.151,0.359,1.0755,1.183,1
1.183,-1.334,-0.623,-0.841,-0.151,1.0391,-0.865,0
-0.865,1.183,-1.334,-0.623,-0.841,1.0752,-0.218,0
-0.218,-0.865,1.183,-1.334,-0.623,1.1503,0.812,1
0.812,-0.218,-0.865,1.183,-1.334,1.1537,-1.891,0
-1.891,0.812,-0.218,-0.865,1.183,1.2572,-1.736,0
-1.736,-1.891,0.812,-0.218,-0.865,1.1122,-1.851,0
-1.851,-1.736,-1.891,0.812,-0.218,1.2085,-0.195,0
-0.195,-1.851,-1.736,-1.891,0.812,1.3659,-0.556,0
-0.556,-0.195,-1.851,-1.736,-1.891,1.2313,1.749,1
1.749,-0.556,-0.195,-1.851,-1.736,1.1308,-0.766,0
-0.766,1.749,-0.556,-0.195,-1.851,1.1141,-1.431,0
-1.431,-0.766,1.749,-0.556,-0.195,1.2253,0.104,1
0.104,-1.431,-0.766,1.749,-0.556,1.2949,-0.568,0
-0.568,0.104,-1.431,-0.766,1.749,1.294,0.586,1
0.586,-0.568,0.104,-1.431,-0.766,0.9292,0.998,1
0.998,0.586,-0.568,0.104,-1.431,1.0918,0.645,1
0.645,0.998,0.586,-0.568,0.104,1.1322,0.226,1
0.226,0.645,0.998,0.586,-0.568,1.1141,-2.476,0
-2.476,0.226,0.645,0.998,0.586,1.0859,-4.318,0
-4.318,-2.476,0.226,0.645,0.998,1.229,1.483,1
1.483,-4.318,-2.476,0.226,0.645,1.3609,-2.584,0
-2.584,1.483,-4.318,-2.476,0.226,1.3974,0.587,1
0.587,-2.584,1.483,-4.318,-2.476,1.2595,-1.962,0
-1.962,0.587,-2.584,1.483,-4.318,1.54356,1.763,1
1.763,-1.962,0.587,-2.584,1.483,1.1262,-2.408,0
-2.408,1.763,-1.962,0.587,-2.584,1.2359,-1.792,0
-1.792,-2.408,1.763,-1.962,0.587,1.3463,-0.406,0
-0.406,-1.792,-2.408,1.763,-1.962,1.72395,1.991,1
1.991,-0.406,-1.792,-2.408,1.763,1.3649,1.128,1
1.128,1.991,-0.406,-1.792,-2.408,1.114,2.557,1
2.557,1.128,1.991,-0.406,-1.792,1.3142,-2.443,0
-2.443,2.557,1.128,1.991,-0.406,1.3334,-0.463,0
-0.463,-2.443,2.557,1.128,1.991,1.2345,1.078,1
1.078,-0.463,-2.443,2.557,1.128,1.2808,-1.246,0
-1.246,1.078,-0.463,-2.443,2.557,1.2549,-3.439,0
-3.439,-1.246,1.078,-0.463,-2.443,1.3861,-0.29,0
-0.29,-3.439,-1.246,1.078,-0.463,1.42559,4.368,1
4.368,-0.29,-3.439,-1.246,1.078,1.368,-1.998,0
-1.998,4.368,-0.29,-3.439,-1.246,1.2668,0.812,1
0.812,-1.998,4.368,-0.29,-3.439,1.0628,2.707,1
2.707,0.812,-1.998,4.368,-0.29,1.3496,-0.213,0
-0.213,2.707,0.812,-1.998,4.368,1.2903,1.51,1
1.51,-0.213,2.707,0.812,-1.998,1.102,-0.323,0
-0.323,1.51,-0.213,2.707,0.812,0.9139,1.028,1
1.028,-0.323,1.51,-0.213,2.707,1.1096,3.889,1
3.889,1.028,-0.323,1.51,-0.213,1.9189,1.254,1
1.254,3.889,1.028,-0.323,1.51,1.4868,-0.854,0
-0.854,1.254,3.889,1.028,-0.323,1.3387,-1.498,0
-1.498,-0.854,1.254,3.889,1.028,1.0126,-1.216,0
-1.216,-1.498,-0.854,1.254,3.889,1.2165,1.594,1
1.594,-1.216,-1.498,-0.854,1.254,1.2036,0.47,1
0.47,1.594,-1.216,-1.498,-0.854,1.3452,1.501,1
1.501,0.47,1.594,-1.216,-1.498,1.0913,-0.287,0
-0.287,1.501,0.47,1.594,-1.216,1.2668,1.359,1
1.359,-0.287,1.501,0.47,1.594,1.1813,0.078,1
0.078,1.359,-0.287,1.501,0.47,1.3422,-1.487,0
-1.487,0.078,1.359,-0.287,1.501,1.1379,1.444,1
1.444,-1.487,0.078,1.359,-0.287,1.0821,-0.245,0
-0.245,1.444,-1.487,0.078,1.359,0.949,-0.183,0
-0.183,-0.245,1.444,-1.487,0.078,1.0063,-0.449,0
-0.449,-0.183,-0.245,1.444,-1.487,1.1324,-0.029,0
-0.029,-0.449,-0.183,-0.245,1.444,1.0567,-0.758,0
-0.758,-0.029,-0.449,-0.183,-0.245,0.9062,0.261,1
0.261,-0.758,-0.029,-0.449,-0.183,0.8582,0.042,1
0.042,0.261,-0.758,-0.029,-0.449,1.0718,2.845,1
2.845,0.042,0.261,-0.758,-0.029,1.4053,0.272,1
0.272,2.845,0.042,0.261,-0.758,1.3556,0.269,1
0.269,0.272,2.845,0.042,0.261,1.1308,1.615,1
1.615,0.269,0.272,2.845,0.042,1.1749,-0.263,0
-0.263,1.615,0.269,0.272,2.845,1.2604,-1.553,0
-1.553,-0.263,1.615,0.269,0.272,1.1348,0.32,1
0.32,-1.553,-0.263,1.615,0.269,1.1007,-1.182,0
-1.182,0.32,-1.553,-0.263,1.615,0.8281,-0.779,0
-0.779,-1.182,0.32,-1.553,-0.263,1.026,-1.566,0
-1.566,-0.779,-1.182,0.32,-1.553,1.1586,0.62,1
0.62,-1.566,-0.779,-1.182,0.32,1.2266,0.386,1
0.386,0.62,-1.566,-0.779,-1.182,1.015,0.511,1
0.511,0.386,0.62,-1.566,-0.779,0.8365,1.299,1
1.299,0.511,0.386,0.62,-1.566,1.1168,-1.055,0
-1.055,1.299,0.511,0.386,0.62,1.0619,0.546,1
