Id,SalePrice
1,173922.738411273
2,172150.523106219
3,221153.722620387
4,165509.714334248
5,259291.262472113
6,182406.278924879
7,183923.832518819
8,179418.359436788
9,132046.87104987
10,207017.442085853
11,145978.833495866
12,116109.478475266
13,175760.653294228
14,162865.389391638
15,122732.723482856
16,168067.692193708
17,172150.523106219
18,220567.096597935
19,190136.013770901
20,193020.730405742
21,201223.245553557
22,182306.245407606
23,172150.523106219
24,136680.506569369
25,123097.698875663
26,274656.481031775
27,166251.108204999
28,145720.160871578
29,192622.991880556
30,172150.523106219
31,225880.653645187
32,122791.934381462
33,160352.362839004
34,147274.58112192
35,179520.443310709
36,187225.333924727
37,162973.6987992
38,182240.047836573
39,179326.177434984
40,162846.941141078
41,238643.315985532
42,108763.801708808
43,172150.523106219
44,172150.523106219
45,168668.592981565
46,226421.435068427
47,187593.977165508
48,161772.807447887
49,172150.523106219
50,160493.852946965
51,150878.068216572
52,178778.347475525
53,209425.300073498
54,121928.052293652
55,229022.624616761
56,172150.523106219
57,202137.73247638
58,176130.844622249
59,224177.746679448
60,172150.523106219
61,199570.876539751
62,153929.688990996
63,207170.122985105
64,172150.523106219
65,168925.031320151
66,225923.223230831
67,90699.0230500363
68,186459.58853691
69,150975.047638728
70,168933.216568763
71,124342.794336872
72,104211.707256174
73,166039.947269881
74,155663.32694323
75,172150.523106219
76,194538.994839448
77,210811.904835376
78,159566.662581152
79,164464.523687541
80,162052.714645114
81,172150.523106219
82,200905.021653107
83,172150.523106219
84,172713.960066839
85,184613.225998456
86,193837.303415054
87,173618.54896818
88,172150.523106219
89,121478.879597128
90,219531.336516421
91,66272.1071540671
92,174250.424595577
93,196102.229864287
94,172150.523106219
95,161632.781791815
96,172150.523106219
97,180265.300992752
98,165412.851021083
99,172150.523106219
100,194740.634764706
101,184107.024699942
102,148793.248981407
103,172150.523106219
104,148707.277006276
105,185981.020872447
106,222694.22505967
107,189528.489630758
108,185578.7866364
109,188244.146386233
110,217715.231835771
111,203246.748536021
112,172150.523106219
113,185431.498173347
114,186148.614477917
115,154618.149843791
116,160366.72779126
117,186934.091968844
118,172150.523106219
119,172150.523106219
120,113186.086604106
121,306240.676312847
122,161169.353396464
123,179615.665288656
124,164046.48878397
125,173178.424571152
126,172150.523106219
127,172150.523106219
128,173619.384179733
129,240290.574235232
130,114327.064795423
131,172150.523106219
132,240774.253391105
133,173061.813318191
134,184411.836791134
135,185601.549023176
136,132947.207184599
137,172150.523106219
138,172150.523106219
139,207186.877109908
140,196979.900729739
141,198277.677860115
142,172150.523106219
143,151504.802804723
144,184670.18633538
145,232763.228080016
146,173562.987430675
147,168308.280008038
148,211178.571715353
149,220103.540609346
150,176033.351063954
151,174917.840897808
152,153100.525910005
153,172150.523106219
154,186627.942686025
155,172150.523106219
156,303982.152131426
157,195768.432145242
158,172150.523106219
159,167342.745944405
160,143936.758445713
161,172150.523106219
162,196064.365945007
163,146030.114984795
164,191231.333545881
165,172150.523106219
166,238527.803348384
167,152349.336237681
168,209511.435833778
169,147781.193120111
170,172150.523106219
171,182420.32463267
172,179957.971884433
173,181712.622433041
174,154570.131899607
175,193975.766769476
176,266052.631398039
177,139411.362433246
178,186529.535513598
179,187796.083516373
180,169742.749977208
181,148835.836470329
182,137101.049120325
183,172150.523106219
184,179998.258345531
185,165889.348581029
186,172150.523106219
187,147418.207581966
188,164306.49717291
189,167114.421608653
190,164278.240554085
191,110813.918845292
192,172150.523106219
193,260651.421294381
194,133330.230966172
195,203205.835057153
196,134948.033301087
197,170186.421292142
198,172150.523106219
199,172439.671398076
200,172150.523106219
201,173720.998749401
202,172150.523106219
203,206671.410232724
204,191513.596894045
205,206407.019652129
206,138039.494263952
207,172150.523106219
208,143421.604708175
209,111004.645504186
210,172150.523106219
211,172150.523106219
212,165449.441354099
213,191210.870206433
214,119896.323343104
215,182608.245512683
216,202998.70441305
217,157674.840838318
218,233863.397503211
219,139928.906154298
220,178747.177000005
221,172150.523106219
222,150408.689557855
223,207764.146072158
224,165250.352678558
225,134995.589727403
226,172150.523106219
227,216056.528357042
228,195898.07479686
229,139578.178990815
230,172150.523106219
231,124833.699856086
232,163901.513293247
233,141131.630461685
234,172150.523106219
235,125484.776201107
236,125949.558496975
237,230293.446241705
238,172150.523106219
239,116257.348555511
240,172690.727830527
241,250774.526910006
242,199494.647371763
243,156858.543153756
244,175492.402304057
245,160710.321730328
246,146382.043098315
247,177428.790635403
248,123923.799809446
249,246093.156557767
250,141468.821431275
251,157395.698246164
252,172150.523106219
253,171555.679312669
254,215931.162912994
255,172150.523106219
256,133182.917372463
257,174501.657065001
258,134677.700974348
259,309884.820948574
260,115368.601302046
261,158531.477401821
262,172150.523106219
263,118942.378236439
264,124367.449375718
265,159185.884660388
266,184824.876380112
267,149164.474292934
268,90308.8624680936
269,127743.695676201
270,166507.554971879
271,189298.477261461
272,172150.523106219
273,172150.523106219
274,160419.721925168
275,177448.753231454
276,94040.2804342772
277,233045.954193167
278,195662.579161608
279,115986.89344714
280,187159.541138373
281,166386.95165367
282,172150.523106219
283,172150.523106219
284,264092.398751583
285,172523.70230928
286,198038.736167524
287,216379.661027457
288,172236.709159137
289,165640.853815149
290,129628.487399046
291,172150.523106219
292,174385.402906505
293,161445.332558755
294,172150.523106219
295,172150.523106219
296,135959.573566966
297,151126.16940991
298,117542.254922994
299,253520.289558146
300,132762.182039159
301,172150.523106219
302,128461.05968294
303,195662.783752944
304,190951.51247127
305,130645.838255365
306,225594.91688185
307,143071.353884795
308,197179.870118314
309,111325.898148235
310,221727.110833576
311,157653.948950263
312,139232.33575824
313,191004.991416982
314,155868.692329575
315,114799.177511056
316,129571.374222555
317,199623.739973683
318,172150.523106219
319,178288.954548434
320,164495.929939703
321,172150.523106219
322,125488.877557501
323,123524.195715327
324,250245.167431095
325,172150.523106219
326,198013.102554143
327,152573.446205
328,165328.404513357
329,225300.977920545
330,194353.855683127
331,189556.229739319
332,179363.263402413
333,123900.517898666
334,124117.616921505
335,135443.89065439
336,172150.523106219
337,186660.639914231
338,135198.839346845
339,193532.925098121
340,85318.8707919309
341,166120.306488108
342,212035.712236305
343,99143.1125077461
344,172150.523106219
345,202791.523182402
346,172150.523106219
347,104419.993837199
348,141378.511826544
349,125577.241566239
350,153019.235063022
351,172150.523106219
352,128118.035272133
353,134847.497424708
354,157842.191519359
355,170551.618493932
356,169455.465941793
357,118916.754288267
358,186449.167415329
359,224757.716914308
360,151824.103414436
361,139032.213473008
362,172150.523106219
363,167387.005133637
364,142939.985467642
365,184211.860972877
366,166390.946452262
367,118156.379327671
368,172150.523106219
369,176364.675039693
370,181648.347661317
371,170518.730259108
372,230252.7425165
373,183793.196350968
374,184449.460768552
375,195784.83650502
376,192445.75911313
377,172150.523106219
378,151536.776037065
379,132609.300056324
380,161983.208476337
381,201464.749616055
382,186646.712949821
383,103070.564725795
384,171132.999758464
385,225730.249343917
386,122894.147889584
387,200366.1172883
388,172150.523106219
389,95378.363335208
390,167475.837850239
391,182281.263742144
392,103150.411886895
393,141725.198630978
394,172150.523106219
395,204372.413603727
396,172150.523106219
397,133122.061668733
398,157954.689274494
399,138214.450805945
400,172150.523106219
401,147859.018428905
402,162379.082945706
403,176087.696890249
404,180205.41805695
405,172150.523106219
406,172150.523106219
407,97305.3585690442
408,172150.523106219
409,125609.423862509
410,206513.568343107
411,144458.965572577
412,134803.512814182
413,135649.867234019
414,172150.523106219
415,164209.837417706
416,195244.064927348
417,187540.159935226
418,162902.706269475
419,128783.295497939
420,199451.312103126
421,144371.625357282
422,193866.059269638
423,142603.709305139
424,202466.441959498
425,200259.793724884
426,206511.43677282
427,143921.456390809
428,172392.313744458
429,221883.489106093
430,172150.523106219
431,199940.327388973
432,172150.523106219
433,137255.358445272
434,130914.840497807
435,178326.907742782
436,205779.12533562
437,169056.590767715
438,172150.523106219
439,168321.901193761
440,177172.358530769
441,172150.523106219
442,109090.516870969
443,172150.523106219
444,138348.447396982
445,206517.690371277
446,176390.044532535
447,196675.615990357
448,172150.523106219
449,226379.144071884
450,214330.458259301
451,172150.523106219
452,131055.316546631
453,172150.523106219
454,130465.175902622
455,155480.857338416
456,161137.475288712
457,152751.464265137
458,172150.523106219
459,182323.93080636
460,164485.620274835
461,276975.513019006
462,183340.760900914
463,193072.316346758
464,254324.834359301
465,147311.886872895
466,189641.523407894
467,179055.152568587
468,204178.127395572
469,172150.523106219
470,194959.246496796
471,169555.284219638
472,222188.348933828
473,188843.779674083
474,172150.523106219
475,201648.97607861
476,172150.523106219
477,206797.914105263
478,156607.498228072
479,172150.523106219
480,172150.523106219
481,204819.26244552
482,194179.22491714
483,169262.873274833
484,119893.922056783
485,172150.523106219
486,211224.926408607
487,172150.523106219
488,208612.689795113
489,172150.523106219
490,147194.724387124
491,101624.498295456
492,177629.014101896
493,191772.462277122
494,141892.147369427
495,184086.592926128
496,87652.6019332933
497,172150.523106219
498,164637.412647354
499,172150.523106219
500,197027.11178355
501,110552.762409432
502,147166.438919066
503,172150.523106219
504,145975.924833027
505,206756.558433963
506,172150.523106219
507,221027.061909157
508,161321.135324787
509,237609.074236406
510,134485.885957345
511,172150.523106219
512,159107.223026061
513,185511.783383111
514,172150.523106219
515,193955.963034344
516,205264.045136343
517,221820.699301224
518,178932.607504332
519,170592.65848271
520,188704.773566114
521,159393.780414102
522,172150.523106219
523,146883.41318447
524,139073.449509379
525,206418.399754182
526,158192.792236055
527,180990.531903303
528,172150.523106219
529,223332.578829924
530,187435.730873351
531,186892.804744699
532,124885.645352409
533,201232.204832346
534,178929.132168845
535,192667.739925621
536,227957.233764905
537,184161.223885677
538,214658.686616635
539,231659.326745773
540,93743.6714307538
541,143098.766576719
542,135825.61997563
543,161211.05113368
544,149319.526903042
545,166387.450752906
546,138473.809674926
547,190554.250698929
548,161236.935001826
549,129638.477930158
550,172150.523106219
551,160331.496878172
552,190622.463094664
553,108511.415789097
554,172150.523106219
555,177911.407598911
556,187870.268401029
557,233484.658407386
558,185817.307263381
559,104818.539145522
560,130648.155543831
561,141576.830710574
562,165192.669919197
563,107746.654841237
564,253836.794973415
565,172150.523106219
566,172150.523106219
567,226154.266689806
568,124302.9198329
569,176575.501161398
570,213414.119277319
571,161420.721042083
572,122774.911648226
573,165404.263497158
574,163412.310776011
575,186471.988637537
576,149615.143317906
577,194248.333576489
578,181687.904537325
579,204335.38400229
580,135464.803825332
581,168818.315662724
582,172150.523106219
583,195886.283757832
584,131870.190781386
585,171851.451621937
586,234328.527798093
587,200525.145396067
588,212078.747026679
589,148753.655239474
590,172150.523106219
591,205927.3520592
592,172150.523106219
593,212144.690490798
594,248830.664683906
595,133730.289699733
596,165347.921504611
597,209726.441478632
598,172150.523106219
599,189286.338590842
600,145203.118310412
601,172150.523106219
602,203039.695114778
603,131564.536001274
604,172150.523106219
605,95553.4153070638
606,119923.835450151
607,154144.461980562
608,171658.970712418
609,216016.203213748
610,198887.667660454
611,134812.115640288
612,111889.850422951
613,141131.374774817
614,172150.523106219
615,172150.523106219
616,194739.314270332
617,186243.577025532
618,192534.916259352
619,194548.57665806
620,139485.983977033
621,172150.523106219
622,190702.634924363
623,265136.09790828
624,182629.395455002
625,172150.523106219
626,172150.523106219
627,202275.286221287
628,181413.753052436
629,242434.73512051
630,134374.83140299
631,172150.523106219
632,172150.523106219
633,183245.772611082
634,205691.181372429
635,182086.288339412
636,149450.640445668
637,172150.523106219
638,185350.639255068
639,151468.92006885
640,128871.180862859
641,238028.026114639
642,177650.317797989
643,225924.697798813
644,168794.506791283
645,172150.523106219
646,137405.691940231
647,215970.779873688
648,138526.760534946
649,243035.259464769
650,200205.563403639
651,95014.2698081708
652,172356.200713438
653,135171.930197025
654,138213.350024221
655,146228.318138854
656,172150.523106219
657,178344.340730388
658,132173.70189434
659,174227.033308942
660,172150.523106219
661,162689.419402494
662,158248.550581712
663,181169.434192135
664,194777.782168214
665,221899.244597987
666,194360.074851839
667,151808.934995495
668,172150.523106219
669,167969.735044343
670,103733.540397063
671,134426.942262488
672,178588.465969456
673,132604.511369357
674,221625.46239837
675,171135.581028756
676,183104.455868518
677,202524.241787247
678,158725.112806327
679,200265.274469766
680,172150.523106219
681,155721.553996316
682,180808.002457198
683,196679.930370183
684,172150.523106219
685,187517.346306149
686,134545.742476215
687,200002.538115428
688,179236.62485553
689,173068.407868077
690,201341.634956087
691,182124.513291931
692,174965.623655282
693,172150.523106219
694,208109.742155627
695,174718.040631057
696,179472.076876683
697,185941.27091532
698,172150.523106219
699,154534.866163929
700,207153.524042274
701,185732.468317351
702,194145.169469958
703,212658.351668516
704,172150.523106219
705,126856.787266794
706,160428.446539208
707,165152.589826805
708,208366.793869314
709,197265.202825381
710,99444.5651653639
711,170245.918713877
712,172150.523106219
713,172150.523106219
714,174108.397576258
715,114737.335103517
716,140946.488431792
717,179866.741813188
718,188027.723161543
719,146905.217964662
720,172150.523106219
721,178230.704551464
722,153521.733153048
723,157260.434622867
724,181415.304380974
725,155817.025380074
726,137998.644593919
727,145892.888606006
728,142819.837172748
729,183194.081255541
730,201101.652336006
731,228243.916562659
732,190305.748856924
733,163573.543729754
734,196348.620874775
735,156813.999368181
736,194351.083812591
737,177097.965485956
738,191224.170465882
739,151612.976715965
740,155902.226244965
741,190493.573056322
742,100465.809326089
743,136081.373075641
744,172150.523106219
745,159357.294584076
746,195695.53228538
747,198171.626876438
748,101413.336200394
749,180357.212049561
750,201018.955939765
751,158804.212313999
752,202979.120570531
753,290897.768981692
754,215053.360181886
755,182088.28812482
756,172150.523106219
757,257610.606148532
758,176340.025348887
759,217608.952274431
760,154483.715591244
761,172150.523106219
762,139682.42439768
763,172150.523106219
764,211940.609954381
765,205467.725504336
766,202700.541179568
767,232380.486436586
768,173568.396251218
769,110961.717351386
770,172150.523106219
771,158289.202906101
772,173505.472897126
773,184586.058592022
774,191309.651956919
775,181213.608297741
776,171986.514520474
777,271744.994833633
778,172150.523106219
779,158026.118024634
780,196412.422602878
781,218165.210984037
782,152792.852663394
783,153510.099850392
784,109471.23510719
785,172150.523106219
786,101158.57158416
787,157987.25771936
788,187649.346916068
789,197763.228171754
790,172150.523106219
791,175908.440251207
792,199731.352576453
793,141760.503207023
794,151008.448721994
795,127279.58484802
796,231205.042587605
797,157480.033371718
798,165466.043158626
799,132181.37722896
800,163572.823727758
801,171854.995669838
802,156279.16350371
803,179814.710275365
804,145292.648200594
805,151643.199953159
806,160901.718757396
807,160066.353403194
808,199237.127840727
809,159758.173589846
810,147339.738753568
811,224983.110383579
812,172150.523106219
813,113917.166082891
814,201791.263377264
815,143524.131846365
816,227833.311567604
817,234865.866308807
818,226219.493706441
819,347197.654464699
820,162456.027008543
821,194153.362018411
822,212651.098439522
823,153979.554280635
824,134690.509401571
825,193947.484053304
826,247041.304266496
827,212727.248272365
828,203780.889580155
829,197056.113380896
830,151904.674660774
831,180818.54288297
832,166867.616738227
833,158935.418990414
834,158027.743555289
835,191851.698365775
836,236016.517370965
837,159076.069122864
838,172150.523106219
839,146844.533261203
840,172150.523106219
841,172150.523106219
842,199272.376574269
843,125614.90327251
844,190176.581758843
845,129420.054963621
846,135338.668405295
847,167015.765617985
848,164393.788460959
849,172150.523106219
850,155978.526875573
851,138770.299103352
852,196188.492550913
853,167055.616995605
854,144553.102730176
855,166515.289435829
856,172150.523106219
857,123728.085565242
858,247445.170778845
859,170370.686415645
860,203475.974536595
861,237083.874625563
862,212577.688125489
863,182684.572957325
864,215898.908111283
865,257224.717971121
866,196070.760576425
867,213825.872694939
868,137391.834128311
869,137756.476609097
870,177228.702105316
871,180116.821283903
872,172150.523106219
873,220630.684935553
874,141671.926797726
875,190385.152771042
876,184487.116473488
877,150295.947022973
878,172150.523106219
879,172150.523106219
880,286718.751941268
881,169487.567456734
882,173145.379834199
883,172150.523106219
884,188478.52684892
885,138141.596904207
886,131147.849593331
887,152983.541670789
888,190246.704232414
889,236528.933258069
890,191055.242326501
891,201113.806226585
892,172150.523106219
893,172150.523106219
894,193994.871148783
895,169950.059823707
896,147332.714478824
897,172150.523106219
898,121583.726531875
899,215687.860952137
900,155146.023917153
901,128015.657983291
902,185465.717436732
903,182763.464696236
904,131209.343606863
905,172150.523106219
906,262379.296119079
907,174424.610432157
908,158143.295560593
909,148808.266629594
910,151975.114487883
911,179443.641774499
912,172150.523106219
913,186731.707337774
914,219241.195572148
915,150413.132599209
916,194237.026628455
917,206950.478667045
918,136750.803596552
919,172150.523106219
920,172150.523106219
921,147388.530247948
922,110492.110481972
923,214918.37092306
924,172150.523106219
925,163849.115903724
926,157589.104289942
927,196363.221324046
928,171400.353123873
929,137118.50787375
930,187372.4017589
931,196639.598085833
932,147159.944489725
933,172150.523106219
934,197602.579110136
935,192108.217283499
936,159974.875985343
937,172540.472553985
938,172150.523106219
939,189228.242925266
940,232392.056919351
941,201374.211937606
942,192533.932637704
943,205088.412685947
944,241231.649112073
