id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_1,127,242,101,366,426,104,210,164,109,82,127,239,213,268,122
sample_2,127,245,105,372,428,110,210,159,106,80,127,245,209,272,122
sample_3,125,236,113,370,424,104,215,168,100,82,125,239,205,264,124
sample_4,129,236,105,368,428,107,215,164,100,84,125,236,213,266,122
sample_5,123,239,105,364,424,104,210,172,97,82,121,239,213,264,122
sample_6,119,233,105,361,424,110,210,172,106,86,121,239,209,264,124
sample_7,121,233,113,361,428,101,210,159,103,80,121,239,205,262,124
sample_8,123,233,113,361,424,104,215,176,100,80,121,239,205,262,122
sample_9,119,236,105,364,424,110,215,172,112,82,121,239,209,262,124
sample_10,123,245,113,361,424,98,215,172,103,80,123,236,205,266,122
sample_11,127,245,105,372,428,104,210,164,109,80,127,239,213,272,124
sample_12,125,239,113,370,424,101,215,172,100,82,125,239,205,261,122
sample_13,127,236,109,361,428,104,215,172,106,80,125,236,205,264,124
sample_14,123,239,105,364,422,110,210,172,109,82,125,236,201,264,122
sample_15,121,239,109,372,424,101,215,164,100,82,127,245,209,262,124
sample_16,125,239,105,372,428,104,215,172,106,80,127,239,205,262,124
sample_17,123,239,113,361,424,98,210,176,100,84,123,239,205,264,122
sample_18,119,239,101,368,426,104,210,172,106,80,123,239,205,266,122
sample_19,123,233,113,361,424,104,215,176,100,82,125,245,205,262,122
sample_20,123,239,113,361,426,98,215,176,100,78,121,233,205,264,122
sample_21,127,239,105,372,422,101,215,168,97,80,123,236,205,262,124
sample_22,129,242,101,372,426,104,210,172,109,82,129,245,205,272,122
sample_23,127,236,105,364,428,98,215,164,109,84,125,233,213,262,124
sample_24,127,239,113,370,428,104,215,164,100,78,129,239,209,262,122
sample_25,129,239,101,364,428,104,210,164,97,82,125,236,209,264,122
sample_26,119,236,109,364,428,107,210,176,97,86,123,236,213,261,124
sample_27,123,233,105,362,424,107,215,159,106,86,125,236,213,264,122
sample_28,125,242,101,364,428,110,210,164,109,84,127,245,213,272,124
sample_29,121,239,113,370,428,98,215,168,97,82,125,239,213,262,124
sample_30,127,245,101,364,428,104,215,164,106,82,129,245,205,264,122
sample_31,127,239,105,370,426,104,215,168,103,78,123,242,205,262,124
sample_32,127,245,105,362,428,104,215,164,109,82,129,242,209,272,124
sample_33,119,236,113,364,428,104,210,168,109,86,125,236,205,268,124
sample_34,119,236,113,364,426,107,210,159,103,86,121,236,209,264,124
